"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.0","/lang/java/src/java/org/apache/avro/reflect/ReflectResponder.java/","org.apache.avro.reflect.ReflectResponder","yes","0","0","0","1","0","1","0","1","0","0","0","0","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/ipc/RPCContext.java/","org.apache.avro.ipc.RPCContext","yes","2","2","0","2","0","2","0","1","0","0","0","6","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter","yes","3","5","0","6","0","6","0","2","0","0","0","218","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.BufferedFileOutputStream","yes","1","1","0","6","0","6","0","2","0","0","0","218","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Field","yes","2","4","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.EnumSchema","yes","7","8","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java/","org.apache.avro.generic.GenericDatumReader","yes","0","2","0","5","0","5","0","3","0","0","0","275","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileReader.java/","org.apache.avro.file.DataFileReader.SeekableInputStream","yes","0","1","0","3","0","3","0","1","0","0","0","126","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.StringSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java/","org.apache.avro.io.parsing.ResolvingGrammarGenerator.LitS2","yes","2","3","0","10","0","10","0","2","0","0","0","202","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema","yes","75","78","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/specific/SpecificRequestor.java/","org.apache.avro.specific.SpecificRequestor","yes","0","1","0","3","0","3","0","2","0","0","0","12","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.NonCopyingByteArrayOutputStream","yes","0","1","0","6","0","6","0","2","0","0","0","218","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Type","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
